inquiry_seed_count,inquiry_seed_prop,inquiry_seed_log,inquiry_narrow_count,inquiry_narrow_prop,inquiry_narrow_log,inquiry_full_count,inquiry_full_prop,inquiry_full_log,inquiry_full_nohands_count,inquiry_full_nohands_prop,inquiry_full_nohands_log,traditional_prop,progressive_prop,numwords,numpages,reading1314,math1314,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocschoolcount,povertyschool,povertyschoolcount,pocsd,povertysd,childpovertysd,students,age,state,cmo,cmoname,titlei,urban,primary,middle,high,otherlevel,level,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,approgram,teachersccd,teacherscrdc,certcount,certrate,geodistrict,numpdfs,ncessch,ethnicisolated99,ethnicisolated95,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,readlevel13,mathlevel13,readall13,mathall13,readlevel14,mathlevel14,readall14,mathall14,readlevel15,mathlevel15,readall15,mathall15,readingscore,mathscore,readpct,mathpct,read5,math5,read10,math10,read20,math20,read50,math50,cmonum,statenum,pctpdfs,teachers,lnage,lnstudents,lnteachers
0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,1,60-79,40-59,21-39,21-39,21-39,LE20,40-59,21-39,38.095238,40,60,63,.2059,.1241,.28942201,105,17,AZ,0,None,1,1,0,0,1,0,High,0,0,0,0,0,,No,,9,9,1,401460,0,40001600476,1,1,1,1,1,30.1,448.3963,8.1199999,9.3400002,0,13,5,20,20,.69999999,.5,20,20,.30000001,.30000001,20,20,.30000001,.1,21-39,LE20,,,,,,,30,10,,,None,AZ,0,9,2.8332133,4.6539602,2.1972246
0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,1,60-79,60-79,LT50,LE20,20-29,40-59,20-29,50-59,100,122,60.655739,74,.2218,.3071,.48757035,122,17,AZ,0,None,1,0,0,0,1,0,High,0,0,0,0,28,,No,,6,6,1,402530,0,40001600481,1,1,1,1,1,9.0799999,44.55048,14.04,25.16,0,13,5,20,20,.69999999,.69999999,50,20,.25,.1,10,20,.25,.5,20-29,40-59,,,,,25,,,50,,,None,AZ,0,6,2.8332133,4.8040209,1.7917595
0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,1,65-69,70-74,20-24,35-39,25-29,50-54,20-24,35-39,100,293,90.784981,266,.2218,.3071,.48757035,293,16,AZ,0,None,1,0,1,0,0,0,Primary,0,0,0,0,199,,,,7,7,1,402530,0,40001601942,1,1,1,1,1,9.0799999,44.55048,14.04,25.16,0,13,5,5,5,.67000002,.72000003,5,5,.22,.37,5,5,.27000001,.51999998,25-29,50-54,,,27,52,,,,,,,None,AZ,0,7,2.7725887,5.6801724,1.9459101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,1,62,52,14,17,18,28,22,36,99.339935,301,94.389442,286,.2218,.3071,.48757035,303,11,AZ,0,Center for Academic Success,1,0,0,1,0,0,Middle,0,0,0,0,106,,,,6,6,1,402530,0,40001602442,1,1,1,1,1,9.0799999,44.55048,14.04,25.16,0,13,5,1,1,.62,.51999998,1,1,.14,.17,1,1,.18000001,.28,18,28,18,28,,,,,,,,,Center for Academic Success,AZ,0,6,2.3978953,5.7137327,1.7917595
0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,1,85-89,60-64,45,24,39,23,42,23,55.759163,213,62.827225,240,.2059,.1241,.28942201,382,11,AZ,0,Center for Academic Success,1,1,1,0,0,0,Primary,0,0,0,0,9,45,,,18,18,1,401460,0,40001602443,1,1,1,1,1,30.1,448.3963,8.1199999,9.3400002,0,15,4,5,5,.87,.62,1,1,.44999999,.23999999,1,1,.38999999,.23,39,23,39,23,,,,,,,,,Center for Academic Success,AZ,0,18,2.3978953,5.9454207,2.8903718
2,.00005278577,.10420877,7,.00018477457,.19724773,10,.00026398458,.22745672,8,.00021117652,.20842068,.0015571802,.00079189101,37889,51,75-79,45-49,40-44,25-29,40-44,25-29,40-44,30-34,32.388664,80,39.676113,98,.2335,.109,.15996385,247,17,AZ,0,None,1,1,1,0,0,0,Primary,4,7,0,0,6,47,,,16,13,.8125,402860,0,40001800496,1,1,1,1,1,42.939999,21.70908,7.3299999,5.8200002,0,15,4,5,5,.76999998,.44,5,5,.41999999,.27000001,5,5,.41999999,.27000001,40-44,25-29,,,42,27,,,,,,,None,AZ,0,16,2.8332133,5.5093884,2.7725887
3,.000038773716,.12315632,5,.000064624532,.1591776,6,.000077549441,.17287214,6,.000077549441,.17287214,.00011632115,.000090475514,77372,92,90-94,70-74,55-59,40-44,40-44,30-34,55-59,45-49,19.254658,62,,,.2335,.109,.15996385,322,17,AZ,0,None,0,1,0,0,1,0,High,0,0,0,0,0,55,Yes,,22.25,5,.22471911,402860,0,40001900498,1,1,1,1,1,42.939999,21.70908,7.3299999,5.8200002,0,15,4,5,5,.92000002,.72000003,5,5,.56999999,.41999999,5,5,.41999999,.31999999,40-44,30-34,,,42,32,,,,,,,None,AZ,0,22.25,2.8332133,5.7745514,3.1023419
0,0,0,0,0,0,1,.00029291154,.085198849,1,.00029291154,.085198849,.00029282577,.00029291154,3415,4,GE95,80-84,60-64,35-39,70-74,60-64,75-79,55-59,16.27907,35,,,.2335,.109,.15996385,215,17,AZ,0,"Montessori Charter School of Flagstaff, Inc.",0,1,1,0,0,0,Primary,0,0,0,0,0,22,,,18,4,.22222222,402860,0,40002001179,1,1,1,1,1,42.939999,21.70908,7.3299999,5.8200002,0,15,4,5,5,.97000003,.81999999,5,5,.62,.37,5,5,.72000003,.62,70-74,60-64,,,72,62,,,,,,,"Montessori Charter School of Flagstaff, Inc.",AZ,0,18,2.8332133,5.3706379,2.8903718
0,0,0,1,.00029620854,.085316233,2,.00059259258,.13522796,2,.00059259258,.13522796,.0023689666,.00059259258,3377,9,85-89,65-69,35-39,25-29,40-44,30-34,50-54,40-44,29.807692,31,19.23077,20,.1068,.1276,.23823705,104,17,AZ,0,None,0,0,1,0,0,0,Primary,0,0,0,0,2,12,,,6,3,.5,407240,0,40002800528,1,1,1,1,1,11.89,37.65704,11.62,4.0700002,0,18,6,5,5,.87,.67000002,5,5,.37,.27000001,5,5,.41999999,.31999999,40-44,30-34,,,42,32,,,,,,,None,AZ,0,6,2.8332133,4.6443911,1.7917595
0,0,0,0,0,0,7,.0003736123,.21136399,6,.00032022203,.19779016,.00042687156,.00021348134,18741,44,88,74,52,38,56,61,63,70,21.170397,123,2.2375214,13,.1459,.052199997,.10628029,581,17,AZ,0,None,0,1,1,0,0,0,Primary,0,12,0,0,8,,,,37,31,.83783782,407750,0,40003100689,1,1,1,1,1,35.549999,680.42438,5.2399998,10.6,0,18,6,1,1,.88,.74000001,1,1,.51999998,.38,1,1,.56,.61000001,56,61,56,61,,,,,,,,,None,AZ,0,37,2.8332133,6.3647509,3.6109178
0,0,0,0,0,0,1,.00099304866,.10024211,0,0,0,0,.00099304866,1008,1,90-94,85-89,25-29,35-39,45-49,45-49,50-54,45-49,75.732216,181,,,.15710001,.12620001,.22460727,239,17,AZ,1,None,1,1,1,0,0,0,Primary,0,1,0,0,19,35,,,12,12,1,404970,0,40003300703,1,1,1,1,1,24.41,2595.9009,7.4699998,12.05,0,18,6,5,5,.92000002,.87,5,5,.27000001,.37,5,5,.47,.44,45-49,45-49,,,47,44,,,,,,,None,AZ,0,12,2.8332133,5.4764633,2.4849067
